title,author,genre,image_url,isbn,location_code
Dark of the Moon,Tracy Barrett,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328836976l/10044423.jpg,547581327,K4-T1-H2-V5
Dark of the Moon,Tracy Barrett,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328836976l/10044423.jpg,547581327,K4-T1-H2-V6
Dark of the Moon,Tracy Barrett,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328836976l/10044423.jpg,547581327,K4-T1-H2-V7
The Captive,Robert Stallman,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311292081l/100450.jpg,671413821,K4-T1-H2-V8
The Captive,Robert Stallman,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311292081l/100450.jpg,671413821,K4-T1-H2-V9
The Captive,Robert Stallman,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311292081l/100450.jpg,671413821,K4-T1-H2-V10
The Captive,Robert Stallman,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311292081l/100450.jpg,671413821,K4-T1-H2-V11
The Captive,Robert Stallman,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311292081l/100450.jpg,671413821,K4-T1-H2-V12
Dragon Rider,Cornelia Funke,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328004947l/100464.jpg,190444248X,K4-T1-H2-V13
Dragon Rider,Cornelia Funke,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328004947l/100464.jpg,190444248X,K4-T1-H2-V14
Dragon Rider,Cornelia Funke,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328004947l/100464.jpg,190444248X,K4-T1-H2-V15
Glass Slipper,Abigail Barnette,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332077459l/10047305.jpg,,K4-T1-H2-V16
Glass Slipper,Abigail Barnette,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332077459l/10047305.jpg,,K4-T1-H2-V17
Glass Slipper,Abigail Barnette,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332077459l/10047305.jpg,,K4-T1-H2-V18
Glass Slipper,Abigail Barnette,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332077459l/10047305.jpg,,K4-T1-H2-V19
The Sea of Trolls,Nancy Farmer,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840959l/100476.jpg,689867468,K4-T1-H2-V20
